+74000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+74000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+75000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+75000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+76000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+76000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+77000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+77000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+78000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:0, y=0, z=0
+78000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+79000000000.0ns POS: x=84.4628, y=95.2, z=0; VEL:2.50655, y=0.131646, z=0
+79000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+80000000000.0ns POS: x=86.9693, y=95.3316, z=0; VEL:4.02626, y=0.437831, z=0
+80000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+81000000000.0ns POS: x=90.9956, y=95.7695, z=0; VEL:6.25095, y=1.50684, z=0
+81000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+82000000000.0ns POS: x=97.2465, y=97.2763, z=0; VEL:3.71094, y=1.71961, z=0
+82000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+83000000000.0ns POS: x=100.957, y=98.9959, z=0; VEL:4.21715, y=4.59926, z=0
+83000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+84000000000.0ns POS: x=105.175, y=103.595, z=0; VEL:2.50099, y=8.41626, z=0
+84000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+85000000000.0ns POS: x=107.676, y=112.011, z=0; VEL:0.312431, y=10.5454, z=0
+85000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+86000000000.0ns POS: x=107.988, y=122.557, z=0; VEL:0.0115267, y=11.11, z=0
+86000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+87000000000.0ns POS: x=108, y=133.667, z=0; VEL:0.000402413, y=10.21, z=0
+87000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+88000000000.0ns POS: x=108, y=143.877, z=0; VEL:1.53059e-05, y=10.55, z=0
+88000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+89000000000.0ns POS: x=108, y=154.427, z=0; VEL:5.61858e-07, y=10.06, z=0
+89000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=0, z=0
+90000000000.0ns POS: x=108, y=164.487, z=0; VEL:2.22254e-08, y=10.79, z=0
+90000000000.0ns POS: x=92, y=114.61, z=0; VEL:0, y=-0.97, z=0
+91000000000.0ns POS: x=108, y=175.277, z=0; VEL:8.17272e-10, y=9.99, z=0
+91000000000.0ns POS: x=92, y=113.64, z=0; VEL:0, y=-1.64, z=0
+92000000000.0ns POS: x=108, y=185.267, z=0; VEL:3.25311e-11, y=10.53, z=0
+92000000000.0ns POS: x=92, y=112, z=0; VEL:0, y=-2.19, z=0
+93000000000.0ns POS: x=92, y=109.81, z=0; VEL:0, y=-2.84, z=0
+93039238510.0ns POS: x=108, y=196.21, z=0; VEL:0, y=0, z=0
+94000000000.0ns POS: x=92, y=106.97, z=0; VEL:0, y=-3.82, z=0
+95000000000.0ns POS: x=92, y=103.15, z=0; VEL:0, y=-4.57, z=0
+96000000000.0ns POS: x=92, y=98.58, z=0; VEL:0, y=-5.27, z=0
+97000000000.0ns POS: x=92, y=93.31, z=0; VEL:0, y=-6.25, z=0
+98000000000.0ns POS: x=92, y=87.06, z=0; VEL:0, y=-6.88, z=0
+99000000000.0ns POS: x=92, y=80.18, z=0; VEL:0, y=-7.73, z=0
