node_ID	Position	Time
9	488:569:0	42
10	489:574:0	42
11	489:489:0	42
11	484:488:0	42
9	488:571:0	42
9	489:574:0	42
13	507:487:0	42
13	503:488:0	42
13	503:488:0	42
9	490:565:0	42
3	490:555:0	43
5	506:488:0	43
5	498:488:0	43
5	502:488:0	43
5	496:488:0	43
5	497:488:0	43
5	496:489:0	43
7	506:488:0	43
7	504:488:0	43
7	502:488:0	43
7	500:488:0	43
7	497:488:0	43
8	512:489:0	43
8	506:488:0	43
8	508:488:0	43
8	511:487:0	43
8	508:487:0	43
8	504:488:0	43
8	506:487:0	43
8	505:489:0	43
10	489:559:0	43
10	489:561:0	43
11	487:489:0	43
11	485:489:0	43
11	486:490:0	43
11	484:490:0	43
11	483:488:0	43
12	514:509:0	43
12	513:510:0	43
12	515:510:0	43
12	515:511:0	43
12	517:509:0	43
13	506:488:0	43
13	504:488:0	43
13	504:488:0	43
13	502:488:0	43
13	505:489:0	43
13	502:488:0	43
13	497:488:0	43
5	505:489:0	43
5	500:488:0	43
7	505:489:0	43
9	490:564:0	43
12	519:511:0	43
9	488:563:0	43
10	490:555:0	43
10	488:559:0	43
10	488:561:0	43
10	488:563:0	43
11	487:489:0	43
3	489:556:0	43
5	502:488:0	43
9	489:556:0	43
10	489:556:0	43
9	490:555:0	43
9	488:561:0	43
9	489:564:0	43
11	482:490:0	43
3	488:555:0	43
11	482:489:0	43
9	488:559:0	43
9	489:561:0	43
12	523:511:0	43
5	499:488:0	44
5	501:488:0	44
5	497:488:0	44
7	501:488:0	44
7	501:488:0	44
7	497:488:0	44
7	499:488:0	44
8	507:488:0	44
8	509:488:0	44
8	512:487:0	44
8	509:486:0	44
8	507:487:0	44
8	506:489:0	44
9	490:554:0	44
9	489:555:0	44
10	490:549:0	44
10	489:550:0	44
10	488:554:0	44
10	489:552:0	44
10	490:554:0	44
11	484:489:0	44
11	486:489:0	44
11	485:490:0	44
11	485:488:0	44
11	483:490:0	44
12	513:509:0	44
12	514:511:0	44
12	516:509:0	44
13	505:488:0	44
13	505:488:0	44
13	507:487:0	44
13	506:489:0	44
13	503:488:0	44
5	503:488:0	44
5	501:488:0	44
5	497:489:0	44
7	505:488:0	44
7	503:488:0	44
9	490:549:0	44
9	489:550:0	44
9	489:552:0	44
11	483:488:0	44
3	490:570:0	44
3	489:576:0	44
11	487:489:0	44
13	512:487:0	44
5	493:488:0	44
9	488:554:0	44
10	488:548:0	44
12	512:510:0	44
12	518:509:0	44
13	501:488:0	44
13	503:488:0	44
7	493:488:0	44
9	488:548:0	44
9	489:547:0	44
3	490:582:0	45
5	498:488:0	45
5	500:488:0	45
5	499:489:0	45
5	495:488:0	45
7	506:488:0	45
7	506:488:0	45
7	502:488:0	45
7	502:488:0	45
7	498:488:0	45
7	500:488:0	45
8	508:488:0	45
8	506:488:0	45
8	508:487:0	45
9	488:542:0	45
9	490:547:0	45
9	489:548:0	45
10	490:547:0	45
10	489:548:0	45
11	485:489:0	45
11	487:489:0	45
11	486:490:0	45
11	484:490:0	45
11	484:488:0	45
12	513:510:0	45
12	514:510:0	45
12	513:510:0	45
12	515:509:0	45
12	516:510:0	45
13	506:488:0	45
13	506:488:0	45
13	508:487:0	45
13	504:488:0	45
13	504:487:0	45
5	502:488:0	45
5	502:488:0	45
7	500:488:0	45
8	504:487:0	45
9	489:546:0	45
13	502:488:0	45
3	489:600:0	45
5	500:488:0	45
7	504:488:0	45
8	511:487:0	45
9	488:547:0	45
10	488:547:0	45
7	504:487:0	45
7	499:489:0	45
8	506:488:0	45
8	504:488:0	45
9	488:539:0	45
10	488:539:0	45
10	488:542:0	45
13	502:488:0	45
3	488:598:0	45
9	488:545:0	45
12	517:509:0	45
8	511:488:0	45
3	489:598:0	46
3	488:598:0	46
3	488:600:0	46
5	501:488:0	46
5	499:488:0	46
5	500:489:0	46
7	501:488:0	46
7	505:487:0	46
7	503:488:0	46
7	502:487:0	46
7	499:488:0	46
7	501:488:0	46
8	508:488:0	46
8	506:488:0	46
8	507:488:0	46
8	509:488:0	46
8	505:487:0	46
9	488:538:0	46
10	488:538:0	46
11	486:489:0	46
11	488:490:0	46
11	486:488:0	46
11	486:490:0	46
12	510:511:0	46
12	512:510:0	46
12	513:510:0	46
12	512:510:0	46
12	514:509:0	46
12	515:510:0	46
12	518:510:0	46
13	501:488:0	46
13	509:488:0	46
13	505:487:0	46
13	503:488:0	46
13	501:488:0	46
3	488:592:0	46
3	490:600:0	46
5	503:488:0	46
5	501:488:0	46
5	495:488:0	46
7	500:489:0	46
10	488:541:0	46
10	489:544:0	46
12	516:511:0	46
13	504:488:0	46
5	496:488:0	46
8	504:488:0	46
9	488:541:0	46
9	489:544:0	46
14	488:600:0	46
5	498:488:0	46
7	498:488:0	46
8	508:489:0	46
11	483:490:0	46
11	484:489:0	46
7	496:488:0	46
10	488:546:0	46
3	488:600:0	46
3	488:600:0	46
5	497:488:0	46
14	488:600:0	46
3	489:600:0	47
5	502:488:0	47
