% time	cellId	IMSI	RNTI	mcs	size	resPscch	rbLen	rbStart	iTrp	hopping	groupDstId	correct
2206	0	5	8	16	193	78	5	25	0	0	255	1
2206	0	5	9	16	193	30	5	21	0	0	255	1
2206	0	6	7	16	193	150	5	18	0	0	255	1
2206	0	6	8	16	193	78	5	25	0	0	255	1
2206	0	6	9	16	193	30	5	21	0	0	255	1
2206	0	10	9	16	193	30	5	21	0	0	255	1
2206	0	10	8	16	193	78	5	25	0	0	255	1
2206	0	10	7	16	193	150	5	18	0	0	255	1
2206	0	11	7	16	193	150	5	18	0	0	255	1
2206	0	11	8	16	193	78	5	25	0	0	255	1
2206	0	11	9	16	193	30	5	21	0	0	255	1
2207	0	1	2	16	193	160	5	36	0	0	255	1
2207	0	1	10	16	193	132	5	2	0	0	255	1
2207	0	3	2	16	193	160	5	36	0	0	255	1
2207	0	3	10	16	193	132	5	2	0	0	255	1
2207	0	4	2	16	193	160	5	36	0	0	255	1
2207	0	4	10	16	193	132	5	2	0	0	255	1
2207	0	5	2	16	193	160	5	36	0	0	255	1
2207	0	5	10	16	193	132	5	2	0	0	255	1
2207	0	6	2	16	193	160	5	36	0	0	255	1
2207	0	6	10	16	193	132	5	2	0	0	255	1
2207	0	7	10	16	193	132	5	2	0	0	255	1
2207	0	7	2	16	193	160	5	36	0	0	255	1
2207	0	8	10	16	193	132	5	2	0	0	255	1
2207	0	8	2	16	193	160	5	36	0	0	255	1
2207	0	9	10	16	193	132	5	2	0	0	255	1
2207	0	9	2	16	193	160	5	36	0	0	255	1
2207	0	11	2	16	193	160	5	36	0	0	255	1
2207	0	11	10	16	193	132	5	2	0	0	255	1
2280	0	1	2	16	193	105	5	36	0	0	255	1
2280	0	1	5	16	193	136	5	39	0	0	255	1
2280	0	1	10	16	193	63	5	11	0	0	255	1
2280	0	3	2	16	193	105	5	36	0	0	255	1
2280	0	3	5	16	193	136	5	39	0	0	255	1
2280	0	3	10	16	193	63	5	11	0	0	255	1
