+10999999999.0ns POS: x=519.09, y=511.2, z=0; VEL:0, y=0, z=0
+11000000000.0ns POS: x=508, y=181.35, z=0; VEL:0, y=0, z=0
+11000000000.0ns POS: x=508, y=46.67, z=0; VEL:0, y=0, z=0
+11000000000.0ns POS: x=488.8, y=523.64, z=0; VEL:0, y=0, z=0
+11000000000.0ns POS: x=162.42, y=498.4, z=0; VEL:25.25, y=2.84907e-06, z=0
+11000000000.0ns POS: x=60.5061, y=495.2, z=0; VEL:17.05, y=0.000106607, z=0
+11000000000.0ns POS: x=5.1, y=492, z=0; VEL:7.42, y=0, z=0
+11000000000.0ns POS: x=122.35, y=492, z=0; VEL:22.93, y=0, z=0
+11000000000.0ns POS: x=808.69, y=508, z=0; VEL:-23.18, y=0, z=0
+11000000000.0ns POS: x=928.33, y=508, z=0; VEL:-18.46, y=0, z=0
+11000000000.0ns POS: x=994.9, y=508, z=0; VEL:-8.6, y=0, z=0
+11000000000.0ns POS: x=508, y=181.35, z=0; VEL:0, y=18.89, z=0
+11000000000.0ns POS: x=508, y=46.67, z=0; VEL:0, y=17.13, z=0
+11000000000.0ns POS: x=492, y=875.21, z=0; VEL:0, y=-12.02, z=0
+11000000000.0ns POS: x=492, y=970.7, z=0; VEL:0, y=-13.34, z=0
+11000000000.0ns POS: x=450.36, y=488.8, z=0; VEL:0.2, y=0, z=0
+11000000000.0ns POS: x=451.12, y=488.8, z=0; VEL:0.19, y=0, z=0
+11000000000.0ns POS: x=451.8, y=488.8, z=0; VEL:0.19, y=0, z=0
+11000000000.0ns POS: x=519.81, y=511.2, z=0; VEL:-0.09, y=0, z=0
+11000000000.0ns POS: x=519.47, y=511.2, z=0; VEL:-0.09, y=0, z=0
+11000000000.0ns POS: x=519.09, y=511.2, z=0; VEL:-0.1, y=0, z=0
+11000000000.0ns POS: x=511.2, y=460.47, z=0; VEL:0, y=0.22, z=0
+11000000000.0ns POS: x=511.2, y=461.32, z=0; VEL:0, y=0.24, z=0
+11000000000.0ns POS: x=511.2, y=462.35, z=0; VEL:0, y=0.24, z=0
+11000000000.0ns POS: x=488.8, y=524.56, z=0; VEL:0, y=-0.23, z=0
+11000000000.0ns POS: x=488.8, y=523.64, z=0; VEL:0, y=-0.22, z=0
+11000000000.0ns POS: x=488.8, y=522.79, z=0; VEL:0, y=-0.23, z=0
+11888888888.0ns POS: x=519.39, y=511.2, z=0; VEL:0, y=0, z=0
+11954545454.0ns POS: x=488.8, y=523.43, z=0; VEL:0, y=0, z=0
+11958333333.0ns POS: x=511.2, y=462.58, z=0; VEL:0, y=0, z=0
+11999999999.0ns POS: x=492, y=863.19, z=0; VEL:0, y=0, z=0
+11999999999.0ns POS: x=450.56, y=488.8, z=0; VEL:0, y=0, z=0
+11999999999.0ns POS: x=451.31, y=488.8, z=0; VEL:0, y=0, z=0
+11999999999.0ns POS: x=511.2, y=460.69, z=0; VEL:0, y=0, z=0
+11999999999.0ns POS: x=488.8, y=524.33, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=12.52, y=492, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=508, y=63.8, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=187.67, y=498.4, z=0; VEL:25.14, y=7.47601e-08, z=0
+12000000000.0ns POS: x=77.5561, y=495.2, z=0; VEL:18.5046, y=3.08508, z=0
+12000000000.0ns POS: x=12.52, y=492, z=0; VEL:8.85, y=0, z=0
+12000000000.0ns POS: x=145.28, y=492, z=0; VEL:24.94, y=0, z=0
+12000000000.0ns POS: x=785.51, y=508, z=0; VEL:-24.31, y=0, z=0
+12000000000.0ns POS: x=909.87, y=508, z=0; VEL:-20.5, y=0, z=0
+12000000000.0ns POS: x=986.3, y=508, z=0; VEL:-10.06, y=0, z=0
+12000000000.0ns POS: x=508, y=200.24, z=0; VEL:0, y=18.96, z=0
+12000000000.0ns POS: x=508, y=63.8, z=0; VEL:0, y=18.98, z=0
+12000000000.0ns POS: x=492, y=863.19, z=0; VEL:0, y=-11.59, z=0
+12000000000.0ns POS: x=492, y=957.36, z=0; VEL:0, y=-12.39, z=0
+12000000000.0ns POS: x=450, y=488.8, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=450.56, y=488.8, z=0; VEL:0.18, y=0, z=0
