% time	cellId	IMSI	RNTI	frame	sframe	resPscch	pscchFr1	pscchSf1	pscchFr2	pscchSf2	mcs	TBS	psschRB	psschLen	psschItrp
3676	0	9	9	369	1	10	369	3	369	5	16	193	2	5	0
3676	0	10	10	369	1	63	369	1	369	8	16	193	38	5	0
3676	0	11	11	369	1	6	369	7	369	8	16	193	16	5	0
3756	0	1	1	377	1	171	377	4	377	5	16	193	14	5	0
3756	0	2	2	377	1	141	377	2	377	6	16	193	5	5	0
3756	0	3	3	377	1	95	377	5	377	8	16	193	21	5	0
3756	0	4	4	377	1	102	377	5	377	7	16	193	33	5	0
3756	0	5	5	377	1	111	377	7	377	8	16	193	27	5	0
3756	0	6	6	377	1	161	377	1	377	2	16	193	30	5	0
3756	0	7	7	377	1	57	377	2	377	3	16	193	12	5	0
3756	0	8	8	377	1	17	377	2	377	5	16	193	43	5	0
3756	0	9	9	377	1	125	377	6	377	8	16	193	12	5	0
3756	0	10	10	377	1	63	377	1	377	8	16	193	33	5	0
3756	0	11	11	377	1	92	377	2	377	5	16	193	4	5	0
3796	0	1	1	381	1	17	381	2	381	5	16	193	23	5	0
3796	0	2	2	381	1	41	381	2	381	8	16	193	29	5	0
3796	0	3	3	381	1	163	381	3	381	4	16	193	43	5	0
3796	0	4	4	381	1	173	381	6	381	7	16	193	33	5	0
3796	0	5	5	381	1	159	381	6	381	8	16	193	16	5	0
3796	0	6	6	381	1	81	381	2	381	6	16	193	29	5	0
3796	0	7	7	381	1	170	381	3	381	4	16	193	32	5	0
3796	0	8	8	381	1	39	381	5	381	8	16	193	35	5	0
3796	0	9	9	381	1	39	381	5	381	8	16	193	19	5	0
3796	0	10	10	381	1	127	381	2	381	8	16	193	30	5	0
3796	0	11	11	381	1	40	381	1	381	7	16	193	20	5	0
3876	0	1	1	389	1	148	389	2	389	5	16	193	4	5	0
3876	0	2	2	389	1	135	389	3	389	8	16	193	8	5	0
3876	0	3	3	389	1	60	389	5	389	6	16	193	17	5	0
3876	0	4	4	389	1	20	389	5	389	8	16	193	28	5	0
3876	0	5	5	389	1	98	389	1	389	3	16	193	21	5	0
3876	0	6	6	389	1	97	389	2	389	8	16	193	41	5	0
3876	0	7	7	389	1	16	389	1	389	4	16	193	9	5	0
3876	0	8	8	389	1	74	389	3	389	6	16	193	19	5	0
3876	0	9	9	389	1	146	389	3	389	8	16	193	32	5	0
3876	0	10	10	389	1	64	389	1	389	3	16	193	10	5	0
3876	0	11	11	389	1	39	389	5	389	8	16	193	31	5	0
3956	0	1	1	397	1	110	397	6	397	7	16	193	5	5	0
3956	0	2	2	397	1	59	397	4	397	5	16	193	45	5	0
3956	0	3	3	397	1	171	397	4	397	5	16	193	7	5	0
3956	0	4	4	397	1	18	397	3	397	6	16	193	9	5	0
3956	0	5	5	397	1	135	397	3	397	8	16	193	37	5	0
3956	0	6	6	397	1	81	397	2	397	6	16	193	30	5	0
3956	0	7	7	397	1	77	397	1	397	6	16	193	40	5	0
3956	0	8	8	397	1	148	397	2	397	5	16	193	31	5	0
3956	0	9	9	397	1	105	397	1	397	2	16	193	9	5	0
3956	0	10	10	397	1	72	397	1	397	4	16	193	29	5	0
3956	0	11	11	397	1	111	397	7	397	8	16	193	11	5	0
3996	0	1	1	401	1	140	401	1	401	5	16	193	41	5	0
3996	0	2	2	401	1	80	401	1	401	5	16	193	4	5	0
3996	0	3	3	401	1	98	401	1	401	3	16	193	33	5	0
3996	0	4	4	401	1	132	401	5	401	8	16	193	15	5	0
3996	0	5	5	401	1	157	401	4	401	6	16	193	20	5	0
3996	0	6	6	401	1	30	401	3	401	7	16	193	27	5	0
3996	0	7	7	401	1	171	401	4	401	5	16	193	32	5	0
3996	0	8	8	401	1	4	401	5	401	6	16	193	25	5	0
3996	0	9	9	401	1	150	401	4	401	7	16	193	34	5	0
3996	0	10	10	401	1	47	401	6	401	8	16	193	5	5	0
3996	0	11	11	401	1	156	401	3	401	5	16	193	16	5	0
4076	0	1	1	409	1	66	409	3	409	5	16	193	14	5	0
4076	0	2	2	409	1	144	409	1	409	6	16	193	27	5	0
4076	0	3	3	409	1	154	409	1	409	3	16	193	42	5	0
4076	0	4	4	409	1	113	409	2	409	3	16	193	31	5	0
4076	0	5	5	409	1	84	409	1	409	5	16	193	15	5	0
4076	0	6	6	409	1	33	409	2	409	7	16	193	6	5	0
4076	0	7	7	409	1	109	409	5	409	6	16	193	7	5	0
