Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
196.729	f8.8	58	18	FullDelay	0.240893	240893	1	2
197.489	f7.4	57	18	FullDelay	0.251547	251547	1	2
197.609	f2.9	59	5	FullDelay	0.806047	806047	1	3
198.465	f4.9	60	7	FullDelay	0.267171	267171	1	2
198.649	f7.4	57	19	FullDelay	0.232424	232424	1	2
198.849	f8.8	58	20	FullDelay	0.224465	224465	1	2
199.369	f7.4	57	20	FullDelay	0.216441	216441	1	2
199.689	f8.8	58	21	FullDelay	0.221388	221388	1	2
199.817	f2.9	59	7	FullDelay	0.570745	570745	1	2
200.897	f2.9	59	8	FullDelay	0.668517	668517	1	2
201.009	f8.8	58	22	FullDelay	0.89266	892660	1	2
202.409	f4.9	60	10	FullDelay	0.757542	757542	1	2
202.689	f2.9	59	10	FullDelay	0.223511	223511	1	2
203.089	f8.8	58	24	FullDelay	0.429825	429825	1	2
203.649	f2.9	59	11	FullDelay	0.241184	241184	1	2
204.769	f7.4	57	24	FullDelay	0.81343	813430	1	3
204.889	f8.8	58	26	FullDelay	0.215964	215964	1	2
205.169	f2.9	59	12	FullDelay	0.813991	813991	1	3
205.689	f7.4	57	25	FullDelay	0.68694	686940	1	2
206.369	f7.4	57	26	FullDelay	0.22942	229420	1	2
206.769	f8.8	58	28	FullDelay	0.253084	253084	1	2
207.409	f7.4	57	27	FullDelay	0.21644	216440	1	2
207.449	f8.8	58	29	FullDelay	0.232373	232373	1	2
208.169	f2.9	59	15	FullDelay	0.583087	583087	1	2
208.553	f8.9	62	10	FullDelay	0.526798	526798	1	2
208.625	f8.8	58	30	FullDelay	0.287305	287305	1	2
209.449	f8.8	58	31	FullDelay	0.263387	263387	1	2
210.329	f8.8	58	32	FullDelay	0.242835	242835	1	2
211.569	f8.8	58	33	FullDelay	0.218154	218154	1	2
212.017	f8.9	62	13	FullDelay	0.226525	226525	1	2
212.369	f8.8	58	34	FullDelay	0.243119	243119	1	2
212.769	f8.9	62	14	FullDelay	0.457203	457203	1	2
213.329	f8.8	58	35	FullDelay	0.24952	249520	1	2
214.409	f8.8	58	36	FullDelay	0.216447	216447	1	2
215.569	f8.8	58	37	FullDelay	0.252867	252867	1	2
216.529	f8.8	58	38	FullDelay	0.250552	250552	1	2
217.609	f8.9	62	18	FullDelay	0.22778	227780	1	2
218.089	f8.8	58	39	FullDelay	0.609016	609016	1	2
218.449	f8.9	62	19	FullDelay	0.340865	340865	1	2
218.729	f8.8	58	40	FullDelay	0.26486	264860	1	2
